feeder_name,feeder_slug,state,district,band,avg_supply_hours_per_day,zero_supply_days,fault_hours_per_day,fault_hours_total,os_hours_per_day,os_hours_total,load_shedding_hours_per_day,load_shedding_hours_total,tcn_hours_total_excluded,energy_positive_days,energy_zero_or_negative_days,energy_no_data_days
GWARZO ROAD,KN-BUK-GWA,Kano,Kano North,B,21.97,1,0.0,0.0,0.0,0.0,0.0,0,0,20,0,11
HASSAN USMAN ROAD,KN-FAD-HAS,Kano,Kano East,B,5.23,5,0.0,0.0,0.0,0.0,2.62,81.12,0,25,1,5
HAUSAWA,KN-ZAR-HAU,Kano,Kano Industrial,B,0.0,31,0.0,0.0,0.0,0.0,24.0,744.0,0,29,0,2
HOSPITAL ROAD,KN-KOF-HOS,Kano,Kano East,C,6.48,0,0.0,0.0,0.0,0.0,0.0,0,0,30,0,1
HOTORO,KN-ZAR-HOT,Kano,Kano East,C,3.39,3,0.0,0.0,0.0,0.0,0.0,0,0,27,0,4
HOUSING ESTATE,KN-BAT-HOU,Kano,Kano Industrial,B,5.61,1,16.18,501.64,0.0,0.0,15.22,471.81,25.14,29,0,2
IBRAHIM TAIWO,KN-DAN-IBR,Kano,Kano City,B,2.55,13,20.63,639.54,0.0,0.0,20.19,625.91,32.39,26,0,5
INDEPENDENCE,KN-BRI-IND,Kano,Kano Central,B,7.55,1,14.76,457.53,0.0,0.0,14.76,457.53,0,23,0,8
INDUSTRIAL,KN-KAT-IND,Katsina,Katsina South,A,23.39,0,0.0,0.0,0.0,0.0,0.0,0,0,31,0,0
JABIRI,KN-KAT-JAB,Kano,Kano East,C,9.74,1,0.0,0.0,0.0,0.0,0.0,0,0,31,0,0
JAEN,KN-GON-JAE,Kano,Kano Industrial,D,2.58,7,21.36,662.17,0.0,0.0,20.43,633.19,7.53,31,0,0
JAKARA,KN-GOR-JAK,Kano,Kano City,D,0.42,25,12.46,386.17,0.0,0.0,23.57,730.54,0,20,4,7
JAMAARE,KN-HAD2-JAM,Jigawa,Jigawa North,D,7.71,2,0.0,0.0,0.0,0.0,0.0,0,0,0,24,7
KABUGA,KN-GOR-KAB,Kano,Kano East,B,1.0,20,10.02,310.6,0.0,0.0,19.85,615.48,0,19,5,7
KADARKO,KN-FAD-KAD,Katsina,Katsina North,B,0.0,31,24.0,744.0,0.0,0.0,0.0,0,0,0,0,31
KANO ROAD,KN-IBB-KAN,Katsina,Katsina North,C,2.97,12,10.67,330.84,0.0,0.0,10.67,330.84,0,26,0,5
KANTI,KN-KAZ-KAN,Jigawa,Jigawa South,C,10.61,0,9.85,305.4,0.0,0.0,4.98,154.38,0,26,0,5
